命令,命令功能,数据长度(字节),单位,算法,备注
`0100,获取0x0100-0x011F的支持情况,4,,,
`0101,错误码数量,2,,,
`0102,,,,,
`0103,,,,,
`0104,,,,,
`0105,,,,,
`0106,,,,,
`0107,,,,,
`0108,,,,,
`0109,,,,,
`010A,,,,,
`010B,,,,,
`010C,,,,,
`010D,,,,,
`010F,,,,,
`0110,,,,,
`0111,,,,,
`0112,,,,,
`0113,,,,,
`0114,,,,,
`0115,,,,,
`0116,,,,,
`0117,,,,,
`0118,,,,,
`0119,,,,,
`011A,,,,,
`011B,,,,,
`011C,,,,,
`011D,,,,,
`011E,,,,,
`011F,,,,,
`0120,,,,,
`0121,,,,,
`0122,,,,,
`0123,,,,,
`0124,,,,,
`0125,,,,,
`0126,,,,,
`0127,,,,,
`0128,,,,,
`0129,,,,,
`012A,,,,,
`012B,,,,,
`012C,,,,,
`012D,,,,,
`012E,,,,,
`012F,,,,,
`0130,,,,,
`0131,,,,,
`0132,,,,,
`0133,,,,,
`0134,,,,,
`0135,,,,,
`0136,,,,,
`0137,,,,,
`0138,,,,,
`0139,,,,,
`013A,,,,,
`013B,,,,,
`013C,,,,,
`013D,,,,,
`013E,,,,,
`013F,,,,,
`0140,,,,,
`0141,,,,,
`0142,,,,,
`0143,,,,,
`0144,,,,,
`0145,,,,,
`0146,,,,,
`0147,,,,,
`0148,,,,,
`0149,,,,,
`014A,,,,,
`014B,,,,,
`014C,,,,,
`014D,,,,,
`014E,,,,,
`014F,,,,,
`0150,,,,,
`0151,,,,,
`0152,,,,,
`0153,,,,,
`0154,,,,,
`0155,,,,,
`0156,,,,,
`0157,,,,,
`0158,,,,,
`0159,,,,,
`015A,,,,,
`015B,,,,,
`015C,,,,,
`015D,,,,,
`015E,,,,,
`015F,,,,,
